Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
9:19:34 PM,4:19:34 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.58,719.3,5.52,40.2,66.3,43,0.03,67.3,7.254,7.267,10.313,-3,-0.38,-3,6.86,1.85,-61.3,4.88,77.7,0,5.23,4.381,3597.02,0,1.224,,
9:19:32 PM,4:19:32 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.58,719.4,5.56,40.3,66.4,43,0.03,67.3,7.254,7.263,10.312,-3,-0.38,-3,6.88,1.86,-60.2,4.87,78,0,5.23,4.379,3642.61,0,1.224,,
9:19:30 PM,4:19:30 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.6,719.4,5.59,40.3,66.5,43,0.03,67.4,7.254,7.269,10.312,-3,-0.38,-3,6.84,1.85,-58.2,4.86,78.4,0,5.23,4.376,3758.09,0,1.224,,
9:19:28 PM,4:19:28 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.63,719.4,5.63,40.3,66.5,43,0.03,67.4,7.252,7.251,10.31,-3,-0.38,-3,6.87,1.85,-51.6,4.86,78.7,0,5.23,4.373,3785.34,0,1.224,,
9:19:27 PM,4:19:27 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.65,719.4,5.67,40.3,66.5,43,0.03,67.4,7.251,7.253,10.309,-3,-0.38,-3,6.82,1.84,-50.5,4.85,79,0,5.25,4.371,3724.77,0,1.224,,
9:19:25 PM,4:19:25 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.71,719.4,5.75,40.3,66.4,43,0.03,67.4,7.25,7.256,10.307,-2.9,-0.38,-3,6.76,1.82,-49.3,4.85,79.3,0,5.25,4.368,3561.78,0,1.224,,
9:19:23 PM,4:19:23 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.78,719.4,5.85,40.2,66.3,43,0.03,67.2,7.248,7.257,10.304,-2.9,-0.38,-3,6.71,1.8,-48.5,4.84,79.5,0,5.25,4.365,3391.8,0,1.224,,
9:19:21 PM,4:19:21 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.85,719,6.02,40.1,66.1,43,0.03,67,7.245,7.254,10.3,-2.9,-0.38,-3,6.67,1.79,-47.8,4.84,79.6,0,5.25,4.362,3210.73,0,1.224,,
9:19:19 PM,4:19:19 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,5.92,719,6.13,39.9,65.9,43,0.03,66.8,7.243,7.255,10.297,-2.9,-0.38,-3,6.65,1.78,-46.5,4.84,79.9,0,5.25,4.36,3071.18,0,1.224,,
9:19:17 PM,4:19:17 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.01,719,6.25,39.7,65.6,43,0.03,66.5,7.238,7.265,10.29,-2.9,-0.38,-3,6.64,1.78,-44.2,4.83,80.1,0,5.25,4.357,2867.1,0,1.224,,
9:19:16 PM,4:19:16 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.1,719,6.35,39.5,65.2,42,0.03,66.1,7.234,7.246,10.285,-2.9,-0.38,-3,6.58,1.76,-32.1,4.83,80.4,0,5.23,4.355,2659.75,0,1.224,,
9:19:14 PM,4:19:14 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.19,719,6.54,39.2,64.7,42,0.03,65.6,7.227,7.243,10.275,-2.9,-0.38,-3,6.53,1.74,-31.1,4.82,80.8,0,5.23,4.352,2461,0,1.224,,
9:19:12 PM,4:19:12 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.3,719,6.75,38.9,64.2,42,0.03,65.1,7.217,7.239,10.26,-2.9,-0.38,-3,6.49,1.73,-30.2,4.81,81.3,0,5.23,4.348,2378.55,0,1.224,,
9:19:10 PM,4:19:10 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.37,719.1,6.85,38.7,64,42,0.03,64.8,7.21,7.242,10.25,-2.9,-0.38,-3,6.44,1.71,-29.3,4.79,82.1,0,5.23,4.346,2340.78,0,1.224,,
9:19:08 PM,4:19:08 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.45,719.1,6.83,38.6,63.7,41,0.03,64.6,7.2,7.251,10.236,-2.9,-0.38,-3,6.41,1.7,-28.4,4.69,87.7,0,5.23,4.342,2290.61,0,1.224,,
9:19:06 PM,4:19:06 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.52,719.1,7.16,38.5,63.7,41,0.03,64.5,7.19,7.246,10.221,-2.9,-0.38,-3,6.44,1.71,-28,4.68,88.1,0,5.23,4.34,2253.73,0,1.224,,
9:19:05 PM,4:19:05 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.59,719.1,8.16,38.6,63.7,41,0.03,64.6,7.18,7.257,10.207,-2.9,-0.38,-3,6.38,1.69,-26.1,4.68,88.4,0,5.23,4.336,2223.96,0,1.224,,
9:19:03 PM,4:19:03 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.65,719.1,8.28,38.7,64,42,0.03,64.9,7.163,7.257,10.184,-2.9,-0.38,-3,6.24,1.64,-19.3,4.67,88.5,0,5.23,4.332,2199.6,0,1.224,,
9:19:01 PM,4:19:01 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.68,719.1,8.37,38.9,64.2,42,0.03,65.1,7.159,7.258,10.178,-2.9,-0.38,-3,6.05,1.58,-18.5,4.67,88.6,0,5.23,4.33,2189.89,0,1.224,,
9:18:59 PM,4:18:59 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.71,719.2,8.52,39,64.4,42,0.03,65.3,7.154,7.269,10.17,-2.9,-0.38,-3,5.84,1.51,-17.4,4.67,88.7,0,5.23,4.326,2196.04,0,1.224,,
9:18:57 PM,4:18:57 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.74,719.2,8.68,39,64.5,42,0.03,65.3,7.146,7.244,10.16,-2.9,-0.38,-3,5.74,1.47,-16.2,4.67,88.9,0,5.23,4.322,2233.27,0,1.224,,
9:18:56 PM,4:18:56 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.76,719.2,8.82,38.9,64.2,42,0.03,65.1,7.142,7.249,10.154,-2.9,-0.38,-3,5.68,1.45,-15.1,4.66,89,0,5.23,4.319,2304.78,0,1.224,,
9:18:54 PM,4:18:54 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.79,719.4,8.94,38.5,63.6,41,0.03,64.5,7.134,7.259,10.142,-2.9,-0.38,-3,5.35,1.34,-14.1,4.66,89.3,0,5.23,4.315,2432.17,0,1.224,,
9:18:52 PM,4:18:52 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.82,719.4,9.05,38,62.8,41,0.03,63.7,7.125,7.241,10.129,-2.9,-0.38,-3,5.08,1.25,-12.4,4.65,89.5,0,5.23,4.311,2471.33,0,1.224,,
9:18:50 PM,4:18:50 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.86,719.4,9.31,37.1,61.4,40,0.03,62.2,7.119,7.236,10.12,-2.9,-0.38,-3,4.93,1.2,-4.7,4.65,89.7,0,5.23,4.306,2533.17,0,1.224,,
9:18:48 PM,4:18:48 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.89,719.4,9.6,35.5,58.7,38,0.03,59.5,7.108,7.228,10.105,-2.9,-0.38,-3,4.74,1.14,-1.5,4.65,90,0,5.23,4.301,2609.96,0,1.224,,
9:18:47 PM,4:18:47 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.92,719.4,9.68,33.7,55.7,36,0.03,56.4,7.101,7.214,10.095,-2.9,-0.38,-3,4.58,1.09,0.8,4.64,90.1,0,5.27,4.297,2682.67,0,1.224,,
9:18:45 PM,4:18:45 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,6.93,719.4,10.49,31.5,52.1,34,0.02,52.8,7.088,7.213,10.077,-2.9,-0.38,-3,4.45,1.04,5.2,4.63,90.5,0,5.27,4.292,2817.87,0,1.224,,
9:18:43 PM,4:18:43 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,7.18,719.2,15.5,29.5,48.9,32,0.02,49.5,7.076,7.19,10.059,-2.9,-0.38,-3,4.33,1,14.5,4.62,91.1,0,5.27,4.286,2994.14,0,1.224,,
9:18:41 PM,4:18:41 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,8.9,719.2,23.2,28.2,46.7,30,0.02,47.3,7.065,7.176,10.044,-2.9,-0.38,-3,4.43,1.04,17.2,4.61,91.8,0,5.27,4.28,3067.13,0,1.224,,
9:18:39 PM,4:18:39 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,2,719.2,35.23,26.5,43.9,29,0.02,44.5,7.049,7.157,10.022,-2.9,-0.38,-3,4.22,0.97,19.6,4.49,98.2,0,5.27,4.272,3148.26,0,1.224,,
9:18:37 PM,4:18:37 PM,6/4/2025,EXOH_tbsite_06032025_060425_211252.bin,tbsite_06032025,4,0.39,719.2,13.42,24.9,41.2,27,0.02,41.8,7.034,7.118,10,-2.9,-0.38,-3,3.23,0.63,24.4,4.48,98.8,0,5.27,4.263,3118.9,0,1.224,,
