Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
5:43:07 AM,12:43:07 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,721.1,0.9,42.1,69.4,45,0.03,70.3,7.396,7.409,10.515,-3,-0.38,-3,6.48,1.72,-117.9,6.04,16,0,5.25,4.422,121.66,0,1.223,,
5:43:05 AM,12:43:05 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,721.1,0.9,42.1,69.4,45,0.03,70.3,7.396,7.395,10.514,-3,-0.38,-3,6.49,1.73,-117.2,6.04,16,0,5.25,4.421,125.34,0,1.223,,
5:43:04 AM,12:43:04 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,721.1,0.89,42.1,69.3,45,0.03,70.3,7.395,7.397,10.514,-3,-0.38,-3,6.55,1.75,-116.3,6.04,16,0,5.25,4.419,130.91,0,1.223,,
5:43:02 AM,12:43:02 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,720.9,0.9,42.1,69.3,45,0.03,70.3,7.395,7.392,10.513,-3,-0.38,-3,6.61,1.77,-115.6,6.04,16,0,5.25,4.417,137.92,0,1.223,,
5:43:00 AM,12:43:00 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,720.9,0.9,42,69.3,45,0.03,70.2,7.395,7.39,10.513,-2.9,-0.38,-3,6.66,1.78,-114.6,6.04,16,0,5.25,4.416,143.65,0,1.223,,
5:42:58 AM,12:42:58 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,720.9,0.9,42,69.3,45,0.03,70.2,7.395,7.409,10.513,-2.9,-0.38,-3,6.69,1.8,-113.6,6.04,16,0,5.25,4.414,152.11,0,1.223,,
5:42:56 AM,12:42:56 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.04,720.9,0.91,42,69.2,45,0.03,70.2,7.394,7.403,10.512,-2.9,-0.38,0,6.69,1.8,-113.3,6.04,16,0,5.25,4.413,158.88,0,1.223,,
5:42:55 AM,12:42:55 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.05,720.9,0.91,42,69.2,45,0.03,70.2,7.393,7.399,10.511,-2.9,-0.38,-3,6.75,1.81,-112.8,6.04,16,0,5.25,4.412,168.62,0,1.223,,
5:42:53 AM,12:42:53 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.05,720.9,0.92,42,69.2,45,0.03,70.1,7.393,7.395,10.51,-2.9,-0.38,-3,6.76,1.82,-112.4,6.04,16,0,5.25,4.41,177.95,0,1.223,,
5:42:51 AM,12:42:51 AM,6/5/2025,EXOH_tbsite_06032025_060525_053701.bin,tbsite_06032025,4,-0.05,720.9,0.91,42,69.1,45,0.03,70.1,7.393,7.397,10.51,-2.9,-0.38,-3,6.8,1.83,-111.9,6.04,16,0,5.25,4.409,184.9,0,1.223,,
