Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
4:58:00 PM,11:58:00 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,4.73,721.7,12.53,27.7,45.8,30,0.02,46.4,7.346,7.404,10.443,-2.6,-0.34,-2.7,-11.19,-4.2,-2.7,4.79,82.2,0,5.23,4.361,785.37,0,1.223,,
4:57:59 PM,11:57:59 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,5.75,721.7,9.12,27.7,45.7,30,0.02,46.3,7.329,7.399,10.42,-2.6,-0.34,-2.7,2.5,0.39,-1.9,4.79,82.2,0,5.24,4.358,788.77,0,1.223,,
4:57:57 PM,11:57:57 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,8.68,721.7,16.25,27.5,45.4,30,0.02,46,7.311,7.392,10.394,-2.6,-0.34,-2.7,1.95,0.2,-1,4.79,82.2,0,5.24,4.353,783.48,0,1.223,,
4:57:55 PM,11:57:55 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,8.96,721.8,16.9,27.3,45,29,0.02,45.7,7.306,7.391,10.387,-2.6,-0.34,-2.7,1.35,0,-0.4,4.79,82.2,0,5.24,4.349,774.36,0,1.223,,
4:57:53 PM,11:57:53 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,9.14,721.8,17.2,27.1,44.7,29,0.02,45.3,7.303,7.382,10.382,-2.6,-0.34,-2.7,0.64,-0.24,0.5,4.79,82.3,0,5.24,4.345,767.41,0,1.223,,
4:57:51 PM,11:57:51 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,9.29,721.8,16.58,26.9,44.4,29,0.02,45.1,7.297,7.398,10.374,-2.6,-0.34,-2.7,-0.21,-0.52,1.2,4.79,82.4,0,5.24,4.339,757.11,0,1.223,,
4:57:49 PM,11:57:49 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,10.06,721.8,10.49,26.9,44.5,29,0.02,45.1,7.291,7.382,10.365,-2.6,-0.34,-2.7,-0.92,-0.76,1.6,4.79,82.4,0,5.24,4.332,749.53,0,1.223,,
4:57:47 PM,11:57:47 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,4.04,721.8,9.91,27.1,44.7,29,0.02,45.3,7.284,7.4,10.355,-2.6,-0.34,-2.7,-1.48,-0.95,2.7,4.79,82.4,0,5.24,4.327,743.88,0,1.223,,
4:57:46 PM,11:57:46 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,4.97,721.8,9.42,27.3,45.1,29,0.02,45.7,7.277,7.383,10.345,-2.6,-0.34,-2.7,-1.57,-0.98,10.4,4.79,82.5,0,5.24,4.319,736.79,0,1.223,,
4:57:44 PM,11:57:44 AM,6/5/2025,EXOH_tbsite_06032025_060525_165314.bin,tbsite_06032025,4,5.55,721.6,11.82,27.6,45.6,30,0.02,46.3,7.269,7.387,10.334,-2.6,-0.34,-2.7,-2.07,-1.14,12.2,4.78,82.6,0,5.24,4.311,731.61,0,1.223,,
