Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,CHLOROPHYLL RFU,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
9:17:44 AM,4:17:44 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.64,721.1,12.24,44.7,73.8,48,0.03,74.8,7.267,7.279,10.332,-2.6,-0.34,-2.7,-6.3,-2.56,-63,5.3,55.1,0,5.23,4.354,14.17,0,1.223,,
9:17:42 AM,4:17:42 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.73,721.1,11.78,44.7,73.8,48,0.03,74.8,7.265,7.265,10.328,-2.7,-0.34,-2.7,-6.22,-2.54,-62.3,5.3,55.2,0,5.22,4.352,12.22,0,1.223,,
9:17:40 AM,4:17:40 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.77,721.2,9.24,44.7,73.8,48,0.03,74.8,7.262,7.28,10.325,-2.7,-0.35,-2.7,-6.04,-2.48,-61.4,5.3,55.4,0,5.22,4.349,9.84,0,1.223,,
9:17:38 AM,4:17:38 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.7,721.2,9.27,44.7,73.8,48,0.03,74.8,7.258,7.274,10.319,-2.7,-0.35,-2.7,-5.85,-2.41,-60.4,5.29,55.6,0,5.22,4.347,12.84,0,1.223,,
9:17:36 AM,4:17:36 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.63,721.2,9.54,44.7,73.8,48,0.03,74.8,7.252,7.279,10.31,-2.7,-0.35,-2.8,-5.58,-2.32,-59.8,5.29,55.7,0,5.22,4.344,22.89,0,1.223,,
9:17:35 AM,4:17:35 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.59,721.2,9.8,44.7,73.8,48,0.03,74.8,7.247,7.273,10.303,-2.7,-0.35,-2.8,-5.15,-2.18,-58.7,5.29,55.9,0,5.22,4.342,35.49,0,1.223,,
9:17:33 AM,4:17:33 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.46,721.2,9.87,44.7,73.8,48,0.03,74.8,7.24,7.273,10.293,-2.7,-0.35,-2.8,-4.75,-2.04,-57.8,5.28,56.1,0,5.23,4.34,49.57,0,1.223,,
9:17:31 AM,4:17:31 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.31,721.1,7.48,44.7,73.9,48,0.03,74.9,7.231,7.274,10.281,-2.7,-0.35,-2.8,-4.28,-1.89,-56.4,5.28,56.3,0,5.23,4.337,56.53,0,1.223,,
9:17:29 AM,4:17:29 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.31,721.1,7.53,44.8,74,48,0.03,75,7.225,7.267,10.271,-2.7,-0.35,-2.8,-3.89,-1.75,-49.4,5.27,56.5,0,5.23,4.335,63.29,0,1.223,,
9:17:27 AM,4:17:27 AM,6/5/2025,EXOH_tbsite_06032025_060525_091128.bin,tbsite_06032025,4,1.46,721.1,7.68,44.8,74.1,48,0.03,75.1,7.212,7.281,10.253,-2.7,-0.36,-2.8,-3.15,-1.51,-48.3,5.27,56.8,0,5.23,4.332,76.98,0,1.223,,
