Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,CHLOROPHYLL RFU,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
9:04:16 PM,4:04:16 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,2.86,720.6,11.56,27.5,45.2,29,0.02,45.8,7.195,7.427,10.228,-0.7,-0.1,-0.8,77.12,25.42,37.4,4.84,79.6,0,5.24,4.58,273.05,0,1.223,,
9:04:14 PM,4:04:14 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,3.06,720.6,11.64,27.6,45.3,29,0.02,46,7.183,7.432,10.211,-0.7,-0.09,-0.7,81.01,26.73,39.7,4.84,79.7,0,5.24,4.569,279.6,0,1.223,,
9:04:12 PM,4:04:12 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,3.92,720.6,13.04,27.9,45.7,30,0.02,46.4,7.164,7.423,10.185,-0.7,-0.09,-0.7,79.94,26.37,47.3,4.84,79.8,0,5.24,4.555,284.38,0,1.223,,
9:04:10 PM,4:04:10 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,7.9,720.6,19.59,28.1,46.1,30,0.02,46.7,7.145,7.428,10.158,-0.7,-0.09,-0.7,73.78,24.3,48.6,4.84,79.9,0,5.24,4.539,299.04,0,1.223,,
9:04:08 PM,4:04:08 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,3.93,720.6,17.22,28.2,46.3,30,0.02,47,7.128,7.438,10.133,-0.7,-0.09,-0.7,72.98,24.03,50.9,4.83,80,0,5.24,4.527,248.61,0,1.223,,
9:04:07 PM,4:04:07 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,3.49,720.6,14.36,28.4,46.7,30,0.02,47.4,7.102,7.417,10.097,-0.6,-0.08,-0.7,53.95,17.65,52.9,4.83,80.1,0,5.23,4.508,180.39,0,1.223,,
9:04:05 PM,4:04:05 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,3.54,720.5,14.37,28.4,46.8,30,0.02,47.4,7.08,7.424,10.065,-0.6,-0.08,-0.6,58.8,19.28,55.9,4.83,80.3,0,5.23,4.493,280.17,0,1.223,,
9:04:03 PM,4:04:03 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,4.13,720.5,11.27,27.6,45.3,29,0.02,46,7.043,7.419,10.012,-0.5,-0.07,-0.6,52.16,17.05,65,4.83,80.4,0,5.23,4.472,889.36,0,1.223,,
9:04:01 PM,4:04:01 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,2.95,720.5,12.23,26.8,44,29,0.02,44.7,7.002,7.418,9.954,-0.5,-0.06,-0.5,64.7,21.25,67.8,4.82,80.6,0,5.23,4.454,449.12,0,1.223,,
9:04:00 PM,4:04:00 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,2.5,720.5,11.01,25.4,41.9,27,0.02,42.5,6.962,7.425,9.897,-0.4,-0.06,-0.4,13.92,4.22,70.7,4.82,80.9,0,5.23,4.432,176.13,0,1.223,,
9:03:58 PM,4:03:58 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,2.08,720.5,15.11,24.3,40,26,0.02,40.5,6.9,7.395,9.809,-0.4,-0.05,-0.4,52.73,17.24,76.3,4.8,81.5,0,5.23,4.415,353.28,0,1.223,,
9:03:56 PM,4:03:56 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,1.26,720.5,53.85,22.6,37.3,24,0.02,37.8,6.839,7.383,9.723,-0.3,-0.03,-0.3,42.32,13.75,91,4.78,82.7,0,5.22,4.399,135.54,0,1.223,,
9:03:54 PM,4:03:54 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,0.22,720.6,21.5,20.8,34.4,22,0.02,34.8,6.734,7.266,9.573,-0.2,-0.02,-0.2,24.34,7.72,102.6,4.73,85.6,0,5.22,4.394,8.24,0,1.223,,
9:03:52 PM,4:03:52 PM,6/5/2025,BoPro_48hr_06052025_4pm_KF_VW.bin,Default Site,4,0.11,720.6,9.17,19.4,32,21,0.01,32.4,6.648,7.089,9.451,-0.1,-0.01,-0.1,117.91,39.1,120.5,4.44,100.9,0,5.22,4.399,0.99,0,1.223,,
