Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
1:13:00 AM,8:13:00 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,1.06,720.6,10.73,37.8,62.3,40,0.03,63.1,7.247,7.307,10.303,-2,-0.27,-2.1,4.78,1.15,-0.4,5,71,0,5.22,4.441,9.87,0,1.223,,
1:12:59 AM,8:12:59 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,1.04,720.4,6.56,37.9,62.4,41,0.03,63.2,7.245,7.304,10.3,-2,-0.27,-2.1,4.73,1.14,1.1,5.01,70.4,0,5.22,4.436,87.4,0,1.223,,
1:12:57 AM,8:12:57 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.98,720.4,6.05,37.9,62.5,41,0.03,63.3,7.242,7.31,10.296,-2,-0.27,-2.1,4.69,1.12,2.8,5.02,70,0,5.22,4.431,119.91,0,1.223,,
1:12:55 AM,8:12:55 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.95,720.4,6.51,38,62.6,41,0.03,63.5,7.237,7.314,10.289,-2,-0.27,-2.1,4.67,1.12,3.9,5.03,69.6,0,5.22,4.424,49.16,0,1.223,,
1:12:53 AM,8:12:53 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.85,720.4,18.51,38.1,62.7,41,0.03,63.6,7.232,7.311,10.282,-2,-0.26,-2.1,4.66,1.11,5.2,5.03,69.4,0,5.22,4.418,15.29,0,1.223,,
1:12:52 AM,8:12:52 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.68,720.4,9.31,38.1,62.8,41,0.03,63.6,7.228,7.308,10.275,-2,-0.26,-2.1,4.64,1.11,12,5.04,69,0,5.22,4.411,22.16,0,1.223,,
1:12:50 AM,8:12:50 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.53,720.4,6.99,38.1,62.8,41,0.03,63.7,7.221,7.307,10.266,-2,-0.26,-2.1,4.6,1.1,12.9,5.05,68.6,0,5.22,4.406,166.73,0,1.223,,
1:12:48 AM,8:12:48 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.47,720.5,5.35,38.1,62.8,41,0.03,63.7,7.216,7.297,10.258,-2,-0.26,-2.1,4.6,1.09,14.3,5.06,68.2,0,5.22,4.398,8.23,0,1.223,,
1:12:46 AM,8:12:46 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.47,720.5,5.49,37.9,62.4,41,0.03,63.3,7.207,7.306,10.246,-2,-0.26,-2.1,4.6,1.09,15.4,5.06,67.8,0,5.22,4.39,9.11,0,1.223,,
1:12:45 AM,8:12:45 PM,6/6/2025,BoPro_48hr_06052025_8pm_JM_KT.bin,tbsite_06032025,4,0.42,720.5,5.52,37.4,61.7,40,0.03,62.5,7.2,7.288,10.236,-2,-0.26,-2,4.58,1.09,16.4,5.07,67.4,0,5.22,4.384,10.34,0,1.223,,
