Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
5:08:20 AM,12:08:20 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.45,720.8,3.85,23,38,25,0.02,38.5,7.226,7.278,10.272,-2.5,-0.32,-2.5,155.26,51.63,34.5,4.9,76.3,0,5.22,4.323,1001.91,0,1.223,,
5:08:18 AM,12:08:18 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.92,720.7,4.11,23,38,25,0.02,38.5,7.22,7.276,10.265,-2.5,-0.32,-2.5,152.54,50.72,35.4,4.91,76,0,5.22,4.32,943.72,0,1.223,,
5:08:16 AM,12:08:16 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.93,720.7,4.47,23,38,25,0.02,38.5,7.214,7.287,10.256,-2.5,-0.32,-2.5,148.34,49.31,36.3,4.91,75.7,0,5.22,4.317,888.83,0,1.223,,
5:08:14 AM,12:08:14 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.92,720.7,4.51,23,38,25,0.02,38.5,7.208,7.28,10.247,-2.5,-0.32,-2.5,142.78,47.45,37.3,4.92,75.4,0,5.22,4.314,846.97,0,1.223,,
5:08:12 AM,12:08:12 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.88,720.7,5.55,23,38,25,0.02,38.5,7.199,7.274,10.235,-2.5,-0.32,-2.5,137.84,45.79,39.4,4.93,75,0,5.2,4.309,797.09,0,1.223,,
5:08:11 AM,12:08:11 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.69,720.7,10.87,23,38.1,25,0.02,38.6,7.188,7.272,10.218,-2.5,-0.32,-2.5,130.27,43.25,45.7,4.93,74.6,0,5.2,4.302,739.64,0,1.223,,
5:08:09 AM,12:08:09 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,2.24,720.7,17.56,23.1,38.3,25,0.02,38.8,7.176,7.268,10.201,-2.5,-0.32,-2.5,135.88,45.13,47.1,4.94,74.2,0,5.2,4.296,726.42,0,1.223,,
5:08:07 AM,12:08:07 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,1.21,720.6,18.89,23.1,38.3,25,0.02,38.8,7.158,7.275,10.175,-2.5,-0.32,-2.5,73.01,24.04,48.5,4.95,73.8,0,5.2,4.285,549.53,0,1.223,,
5:08:05 AM,12:08:05 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.56,720.6,9.18,22.8,37.8,25,0.02,38.3,7.13,7.245,10.137,-2.4,-0.32,-2.5,95.79,31.68,50,4.95,73.9,0,5.2,4.271,459.93,0,1.223,,
5:08:03 AM,12:08:03 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.36,720.6,6.83,22.6,37.4,24,0.02,37.9,7.102,7.207,10.096,-2.4,-0.32,-2.5,95.59,31.62,51.5,4.94,74.3,0,5.2,4.261,6.85,0,1.223,,
5:08:01 AM,12:08:01 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.26,720.6,5.98,22.1,36.6,24,0.02,37.1,7.059,7.128,10.036,-2.4,-0.32,-2.5,137.34,45.62,57.8,4.92,75.3,0,5.2,4.246,3.3,0,1.223,,
5:08:00 AM,12:08:00 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.14,720.6,5.51,21.5,35.7,23,0.02,36.2,7.024,7.053,9.986,-2.4,-0.32,-2.5,176.5,58.76,67.1,4.89,77.1,0,5.2,4.23,2.17,0,1.223,,
5:07:58 AM,12:07:58 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.11,720.6,5.18,21,34.9,23,0.02,35.3,6.985,6.985,9.93,-2.4,-0.31,-2.5,176.1,58.62,71.4,4.79,82,0,5.2,4.219,1.33,0,1.223,,
5:07:56 AM,12:07:56 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.09,720.7,4.46,20.3,33.6,22,0.01,34.1,6.936,6.908,9.86,-2.4,-0.31,-2.5,175.19,58.32,83.6,4.59,92.9,0,5.2,4.206,0.85,0,1.223,,
5:07:54 AM,12:07:54 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,4.25,19.6,32.5,21,0.01,32.9,6.815,6.786,9.689,-2.4,-0.31,-2.4,174.14,57.96,107.8,4.37,104.6,0,5.2,4.197,0.78,0,1.223,,
5:07:52 AM,12:07:52 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,4.16,19.2,31.8,21,0.01,32.2,6.039,6.661,8.585,-2.4,-0.31,-2.4,173.42,57.72,116.1,4.37,104.3,0,5.2,4.193,0.74,0,1.223,,
5:07:50 AM,12:07:50 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,4.08,18.7,31,20,0.01,31.4,5.977,6.495,8.497,-2.3,-0.3,-2.4,172.45,57.4,125.7,4.38,103.8,0,5.2,4.191,0.69,0,1.223,,
5:07:49 AM,12:07:49 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,4.01,18.3,30.3,20,0.01,30.7,5.914,6.362,8.407,-2.3,-0.3,-2.4,171.63,57.12,127.4,4.39,103.3,0,5.2,4.192,0.65,0,1.223,,
5:07:47 AM,12:07:47 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,3.96,17.9,29.7,19,0.01,30.1,5.853,6.279,8.32,-2.3,-0.3,-2.3,170.97,56.9,128.9,4.4,103,0,5.2,4.198,0.63,0,1.223,,
5:07:45 AM,12:07:45 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,3.93,17.6,29.3,19,0.01,29.7,5.799,6.211,8.245,-2.3,-0.3,-2.3,170.45,56.73,130.9,4.41,102.5,0,5.2,4.205,0.6,0,1.223,,
5:07:43 AM,12:07:43 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.7,3.89,17.3,28.8,19,0.01,29.1,5.729,6.078,8.145,-2.2,-0.29,-2.3,169.89,56.54,134.5,4.41,102.2,0,5.2,4.218,0.57,0,1.223,,
5:07:41 AM,12:07:41 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.7,3.83,17.1,28.4,18,0.01,28.8,5.654,5.907,8.038,-2.2,-0.29,-2.3,169.45,56.39,142,4.42,102,0,5.2,4.233,0.54,0,1.223,,
5:07:39 AM,12:07:39 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.6,3.83,17,28.2,18,0.01,28.6,5.603,5.79,7.965,-2.2,-0.29,-2.3,169.2,56.31,143.2,4.42,101.8,0,5.2,4.245,0.54,0,1.223,,
5:07:37 AM,12:07:37 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.6,3.81,16.9,28,18,0.01,28.4,5.545,5.654,7.883,-2.2,-0.29,-2.3,168.92,56.21,144.5,4.43,101.6,0,5.2,4.264,0.51,0,1.223,,
5:07:36 AM,12:07:36 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.6,3.8,16.8,27.8,18,0.01,28.2,5.481,5.536,7.791,-2.2,-0.29,-2.3,168.6,56.11,146,4.43,101.4,0,5.2,4.285,0.52,0,1.223,,
5:07:34 AM,12:07:34 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.6,3.77,16.7,27.7,18,0.01,28.1,5.402,5.419,7.68,-2.2,-0.28,-2.2,168.4,56.04,147.1,4.43,101.4,0,5.2,4.303,0.51,0,1.223,,
5:07:32 AM,12:07:32 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.6,3.74,16.7,27.5,18,0.01,27.9,5.355,5.345,7.612,-2.2,-0.28,-2.2,168.16,55.96,148.9,4.43,101.3,0,5.21,4.323,0.49,0,1.223,,
5:07:30 AM,12:07:30 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.7,3.74,16.6,27.4,18,0.01,27.8,5.298,5.264,7.532,-2.1,-0.28,-2.2,167.92,55.88,151.8,4.43,101.3,0,5.21,4.339,0.5,0,1.223,,
5:07:28 AM,12:07:28 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.7,3.71,16.6,27.3,18,0.01,27.7,4.54,5.198,6.454,-2.1,-0.28,-2.2,167.77,55.83,160.3,4.43,101.3,0,5.21,4.348,0.51,0,1.223,,
5:07:26 AM,12:07:26 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.05,720.7,3.69,16.5,27.2,18,0.01,27.6,4.5,5.114,6.397,-2.1,-0.27,-2.2,167.55,55.76,161.5,4.43,101.2,0,5.21,4.359,0.51,0,1.223,,
5:07:25 AM,12:07:25 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,3.68,16.5,27.2,18,0.01,27.5,4.465,5.032,6.347,-2.1,-0.27,-2.1,167.33,55.68,162.7,4.43,101.2,0,5.21,4.367,0.5,0,1.223,,
5:07:23 AM,12:07:23 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,3.7,16.4,27.1,18,0.01,27.4,4.426,4.96,6.292,-2.1,-0.27,-2.1,167.13,55.61,163.7,4.43,101.2,0,5.22,4.375,0.52,0,1.223,,
5:07:21 AM,12:07:21 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.07,720.7,3.72,16.4,27,18,0.01,27.4,4.4,4.919,6.256,-2,-0.27,-2.1,166.96,55.56,164.9,4.44,101.1,0,5.22,4.379,0.53,0,1.223,,
5:07:19 AM,12:07:19 AM,6/6/2025,BoPro_48hr_06062025_12am_JM_SS.bin,tbsite_06032025,4,0.06,720.8,3.7,16.3,27,18,0.01,27.3,4.36,4.869,6.198,-2,-0.26,-2.1,166.81,55.51,166.1,4.44,101.1,0,5.22,4.385,0.53,0,1.223,,
