Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
5:03:46 PM,12:03:46 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.39,720.6,4.65,42.5,70.1,46,0.03,71.1,7.242,7.241,10.296,-2.6,-0.33,-2.7,0.97,-0.12,-22.5,4.72,85.9,0,5.15,4.355,3316.11,0,1.211,,
5:03:45 PM,12:03:45 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.57,720.6,6.96,42.5,70.1,46,0.03,71.1,7.241,7.247,10.294,-2.6,-0.33,-2.7,0.84,-0.17,-22.1,4.72,85.9,0,5.15,4.352,3322.26,0,1.211,,
5:03:43 PM,12:03:43 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.62,720.6,6.99,42.5,70.1,46,0.03,71.1,7.238,7.249,10.29,-2.6,-0.34,-2.7,0.76,-0.2,-21.4,4.72,85.9,0,5.15,4.349,3324.69,0,1.211,,
5:03:41 PM,12:03:41 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.66,720.6,7.01,42.4,70.1,46,0.03,71.1,7.235,7.248,10.286,-2.6,-0.34,-2.7,0.66,-0.23,-15.6,4.72,85.9,0,5.15,4.347,3325.49,0,1.211,,
5:03:39 PM,12:03:39 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.7,720.6,7.05,42.4,70.1,46,0.03,71.1,7.233,7.258,10.283,-2.6,-0.34,-2.7,0.53,-0.27,-15,4.72,85.8,0,5.15,4.344,3326.62,0,1.211,,
5:03:37 PM,12:03:37 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.75,720.6,7.09,42.4,70.1,46,0.03,71,7.228,7.239,10.276,-2.6,-0.34,-2.7,0.37,-0.32,-14.4,4.72,85.8,0,5.16,4.341,3327.69,0,1.211,,
5:03:35 PM,12:03:35 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.81,720.6,7.12,42.4,70.1,46,0.03,71,7.223,7.262,10.268,-2.6,-0.34,-2.7,0.21,-0.38,-13.9,4.73,85.7,0,5.16,4.338,3329.2,0,1.211,,
5:03:33 PM,12:03:33 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.85,720.6,7.16,42.4,70.1,46,0.03,71,7.217,7.243,10.26,-2.6,-0.34,-2.7,-0.04,-0.46,-13.4,4.73,85.6,0,5.16,4.335,3330.63,0,1.211,,
5:03:32 PM,12:03:32 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.89,720.6,7.19,42.4,70.1,46,0.03,71,7.21,7.248,10.25,-2.6,-0.34,-2.7,-0.48,-0.61,-12.8,4.73,85.4,0,5.16,4.332,3332.67,0,1.211,,
5:03:30 PM,12:03:30 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,5.93,720.6,7.23,42.4,70,46,0.03,71,7.201,7.243,10.237,-2.6,-0.34,-2.7,-0.63,-0.66,-12.3,4.73,85.3,0,5.16,4.329,3334.56,0,1.211,,
5:03:28 PM,12:03:28 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.01,720.6,7.27,42.4,70,46,0.03,71,7.195,7.236,10.228,-2.6,-0.34,-2.7,-0.96,-0.77,-11.7,4.74,85.1,0,5.16,4.326,3337.05,0,1.211,,
5:03:26 PM,12:03:26 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.16,720.7,7.31,42.4,70,46,0.03,71,7.183,7.253,10.211,-2.6,-0.34,-2.7,-1.25,-0.87,-11,4.74,84.9,0,5.16,4.322,3339.45,0,1.211,,
5:03:24 PM,12:03:24 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.21,720.7,7.33,42.4,70,46,0.03,71,7.17,7.245,10.193,-2.6,-0.34,-2.7,-1.28,-0.88,-10.3,4.74,84.8,0,5.16,4.319,3346.43,0,1.211,,
5:03:22 PM,12:03:22 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.25,720.7,7.3,42.4,70,46,0.03,71,7.152,7.249,10.168,-2.6,-0.34,-2.7,-1.34,-0.9,-9.7,4.75,84.6,0,5.16,4.315,3356.9,0,1.211,,
5:03:21 PM,12:03:21 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.31,720.7,7.23,42.4,70.1,46,0.03,71,7.136,7.24,10.144,-2.7,-0.34,-2.7,-1.04,-0.8,-8.3,4.75,84.4,0,5.16,4.311,3380.03,0,1.211,,
5:03:19 PM,12:03:19 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.37,720.7,7.2,42.4,70.1,46,0.03,71,7.111,7.243,10.109,-2.7,-0.34,-2.7,-0.49,-0.61,-2,4.75,84.2,0,5.16,4.307,3419.75,0,1.211,,
5:03:17 PM,12:03:17 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.44,720.7,7.17,42.4,70.1,46,0.03,71.1,7.077,7.23,10.062,-2.7,-0.34,-2.7,0.03,-0.44,-1.3,4.76,84,0,5.15,4.304,3452.86,0,1.211,,
5:03:15 PM,12:03:15 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.58,720.7,7.09,42.4,70.1,46,0.03,71.1,7.054,7.238,10.029,-2.6,-0.34,-2.7,0.48,-0.29,-0.3,4.76,83.9,0,5.15,4.299,3492.52,0,1.211,,
5:03:13 PM,12:03:13 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,7.04,720.7,7.03,42.3,70,45,0.03,70.9,7.015,7.239,9.973,-2.6,-0.34,-2.7,1.02,-0.11,0.7,4.76,83.8,0,5.15,4.295,3518.68,0,1.211,,
5:03:11 PM,12:03:11 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,7.72,720.7,7.07,41.8,69.1,45,0.03,70.1,6.976,7.224,9.917,-2.6,-0.34,-2.7,1.45,0.04,1.5,4.76,83.7,0,5.15,4.291,3474.04,0,1.211,,
5:03:10 PM,12:03:10 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,9.13,720.7,7.28,40.4,66.8,43,0.03,67.8,6.942,7.222,9.869,-2.6,-0.34,-2.7,1.85,0.17,2.8,4.76,83.6,0,5.15,4.286,3402.61,0,1.211,,
5:03:08 PM,12:03:08 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,9.89,720.7,7.82,38,62.9,41,0.03,63.7,6.893,7.213,9.799,-2.6,-0.34,-2.7,2.81,0.49,4.1,4.77,83.6,0,5.16,4.281,3325.39,0,1.211,,
5:03:06 PM,12:03:06 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,15.42,720.7,13.47,35.3,58.4,38,0.03,59.2,6.847,7.2,9.734,-2.6,-0.34,-2.7,3.44,0.7,7.1,4.77,83.5,0,5.16,4.276,3289.5,0,1.211,,
5:03:04 PM,12:03:04 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,11.03,720.6,15.04,33.3,55.1,36,0.03,55.8,6.794,7.189,9.658,-2.6,-0.34,-2.7,4.4,1.03,13.3,4.77,83.5,0,5.16,4.272,3218.52,0,1.211,,
5:03:02 PM,12:03:02 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,10.68,720.6,13.38,30.5,50.5,33,0.02,51.2,6.744,7.177,9.588,-2.6,-0.34,-2.7,5.32,1.33,14.5,4.77,83.4,0,5.16,4.267,3142.09,0,1.211,,
5:03:00 PM,12:03:00 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,6.03,720.6,13.37,28.2,46.6,30,0.02,47.3,6.703,7.162,9.529,-2.6,-0.34,-2.7,5.62,1.44,15.9,4.77,83.3,0,5.16,4.26,2990.03,0,1.211,,
5:02:58 PM,12:02:58 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,2.68,720.6,16.99,26,43.1,28,0.02,43.6,6.65,7.126,9.453,-2.6,-0.34,-2.7,5.4,1.36,17.2,4.77,83.1,0,5.16,4.252,2834.04,0,1.211,,
5:02:57 PM,12:02:57 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,1.86,720.6,18.17,24.7,40.9,27,0.02,41.5,6.609,7.123,9.396,-2.6,-0.34,-2.7,5,1.23,19,4.78,82.6,0,5.17,4.245,2828.45,0,1.211,,
5:02:55 PM,12:02:55 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,0.85,720.6,5.06,23.7,39.3,26,0.02,39.8,6.579,7.097,9.353,-2.6,-0.34,-2.7,-0.4,-0.58,21.2,4.79,82.1,0,5.17,4.234,2811.88,0,1.211,,
5:02:53 PM,12:02:53 PM,6/6/2025,fri12pm.bin,tbsite_06032025,4,0.27,720.6,9.18,23,38.2,25,0.02,38.7,6.549,7.09,9.311,-2.6,-0.34,-2.7,178.94,59.57,24,4.8,81.9,0,5.17,4.221,2729.61,0,1.211,,
