Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
8:56:47 PM,3:56:47 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.28,719.7,5.49,37.8,62.3,41,0.03,63.2,7.283,7.321,10.353,-2.5,-0.32,-2.5,-1.77,-1.04,1.5,4.64,90.3,0,5.17,4.367,82.71,0,1.211,,
8:56:45 PM,3:56:45 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.28,719.7,5.43,37.8,62.3,41,0.03,63.2,7.271,7.317,10.337,-2.5,-0.32,-2.5,-1.66,-1.01,1.9,4.64,90.3,0,5.17,4.364,14.84,0,1.211,,
8:56:43 PM,3:56:43 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.32,719.7,5.4,37.7,62.3,40,0.03,63.1,7.259,7.316,10.32,-2.5,-0.32,-2.6,-0.9,-0.75,2.4,4.64,90.4,0,5.17,4.359,8.94,0,1.211,,
8:56:42 PM,3:56:42 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.34,719.7,5.37,37.7,62.3,40,0.03,63.1,7.247,7.329,10.303,-2.5,-0.32,-2.6,0.06,-0.43,2.9,4.64,90.4,0,5.16,4.354,6.71,0,1.211,,
8:56:40 PM,3:56:40 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.34,719.7,5.45,37.7,62.3,40,0.03,63.1,7.229,7.314,10.277,-2.5,-0.32,-2.6,0.95,-0.13,3.4,4.64,90.4,0,5.16,4.348,6.16,0,1.211,,
8:56:38 PM,3:56:38 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.35,719.7,5.54,37.9,62.6,41,0.03,63.4,7.213,7.308,10.254,-2.5,-0.32,-2.6,1.67,0.11,4,4.64,90.4,0,5.16,4.344,6.09,0,1.211,,
8:56:36 PM,3:56:36 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.34,719.7,5.64,38.4,63.5,41,0.03,64.3,7.188,7.317,10.219,-2.5,-0.33,-2.6,2.57,0.41,5.1,4.64,90.3,0,5.16,4.338,6.64,0,1.211,,
8:56:34 PM,3:56:34 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.34,719.7,5.77,39,64.4,42,0.03,65.3,7.162,7.314,10.182,-2.5,-0.33,-2.6,3.23,0.63,10.6,4.64,90.3,0,5.16,4.332,7.13,0,1.211,,
8:56:32 PM,3:56:32 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.33,719.7,5.88,39.4,65.1,42,0.03,65.9,7.139,7.326,10.149,-2.5,-0.33,-2.6,4.04,0.91,11.3,4.64,90.1,0,5.18,4.326,7.41,0,1.211,,
8:56:31 PM,3:56:31 PM,6/6/2025,EXOH_tbsite_06032025_060625_205132.bin,tbsite_06032025,4,0.31,719.7,5.93,39.7,65.7,43,0.03,66.6,7.105,7.301,10.101,-2.5,-0.33,-2.6,4.69,1.12,12.1,4.64,90,0,5.18,4.319,8.18,0,1.211,,
