Time (incorrect),Time,Date,FILE NAME,SITE NAME,FAULT CODE,TAL PC RFU,Barometer,Chl,Cond,Sp_Cond,TDS,Sal,nLFCond,Depth,Vertical_Position,Pressure,ODO,ODO.1,ODO.2,FDOM QSU,FDOM RFU,ORP,pH,pH.1,CABLE PWR V,BATTERY V,Temp,Turbidity,TSS,WIPER POSITION VOLT,,
1:03:36 PM,8:03:36 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,8.09,720.9,17.88,27.1,44.8,29,0.02,45.4,7.009,7.448,9.965,-1.9,-0.25,-2,2.04,0.23,13,4.94,74.3,0,5.14,4.322,95.46,0,1.215,,
1:03:34 PM,8:03:34 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,2.39,720.9,21.4,26.3,43.6,28,0.02,44.2,6.984,7.451,9.929,-1.9,-0.25,-1.9,5.45,1.38,14.5,4.95,73.8,0,5.14,4.311,153.63,0,1.215,,
1:03:32 PM,8:03:32 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,1.44,720.9,31.3,25.7,42.5,28,0.02,43,6.953,7.421,9.885,-1.9,-0.24,-1.9,5.31,1.33,15.5,4.96,73.5,0,5.14,4.304,97.92,0,1.215,,
1:03:31 PM,8:03:31 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.51,720.9,31.35,24.3,40.3,26,0.02,40.8,6.932,7.408,9.855,-1.8,-0.24,-1.9,-10.56,-3.99,17.7,4.96,73.1,0,5.14,4.295,121.68,0,1.215,,
1:03:29 PM,8:03:29 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.2,720.9,11.62,23.2,38.3,25,0.02,38.8,6.896,7.392,9.804,-1.8,-0.24,-1.9,-13.3,-4.91,21.8,4.97,72.8,0,5.14,4.289,5.63,0,1.215,,
1:03:27 PM,8:03:27 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.13,720.9,5.36,22,36.3,24,0.02,36.8,6.869,7.335,9.765,-1.8,-0.23,-1.9,179.84,59.88,36.1,4.71,86.6,0,5.1,4.282,1.65,0,1.215,,
1:03:26 PM,8:03:26 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.12,720.9,5.24,21.3,35.3,23,0.02,35.7,6.834,7.274,9.716,-1.8,-0.23,-1.8,179.49,59.76,43.3,4.69,87.6,0,5.1,4.277,1.41,0,1.215,,
1:03:24 PM,8:03:24 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.12,720.8,5.1,20.5,34,22,0.01,34.4,6.806,7.215,9.676,-1.8,-0.23,-1.8,178.65,59.48,56.5,4.66,89,0,5.1,4.27,1.23,0,1.215,,
1:03:22 PM,8:03:22 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.11,720.8,4.96,20.1,33.2,22,0.01,33.7,6.772,7.115,9.628,-1.8,-0.23,-1.8,178.02,59.27,59.2,4.64,90.3,0,5.1,4.265,1.13,0,1.215,,
1:03:20 PM,8:03:20 AM,6/6/2025,BoPro_48hr_06062025_8am_KF_JM.bin,Default Site,4,0.11,720.8,4.81,19.7,32.6,21,0.01,33.1,6.747,7.059,9.592,-1.7,-0.23,-1.8,177.12,58.96,69.2,4.55,95,0,5.1,4.258,1.05,0,1.215,,
